"","Opération","Division","Description","Designation","TypeUnité","TypeProduit","NombreUnité","StatutADV","Superficie","PrixUnitaire","PrixTotal","NuméroClient","Client","Dossier","TypeDocument","DésignationTypeDeDocument","Création","Vers1","Vers2","Vers3","TotalVersement","VersRegularis","TropPerçuRéglé","TropPerçuNonRéglé","ResteàPayer","TotalAvances"
"4315","180403.03",1803,"Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",1,3,160,1890,302400,"10614701","Elnar Stelfox","21214688","ZVL ","Vente libre         ",2013-09-10,84000,218400,0,302400,0,0,0,0,302400
"204","180060.07",1801,"Agence Oujda                  ","24587-JORF LAKHDER EXT LS TR3           ","CONSTRUCTION LOGEMENT    ","CONSTR SOCIAL 250 MILLE                 ",1,2,66,4542.83,299826.78,"11014744","Humfrey Domone","21609954","ZVL ","Vente libre         ",2017-07-27,50000,110000,75000,235000,0,0,0,64826.78,235000
"1648","180330.01",1805,"Taourirt                      ","19141-ZAE TAOURIRT                      ","LOT ACTIVITÉ COMMERCIALE ","LOTS ACTIVITE COMM A USAGE INDUSTRIEL   ",1,2,228,900,205200,"10993994","Angie Deeley","21738430","ZVL ","Vente libre         ",2020-10-08,30000,0,0,30000,0,0,0,175200,30000
"352","180141.02",1803,"Nador - Driouch               ","4022-IMERKANE LOTIS A ZAIO              ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",1,3,175,1312.5,229687.5,"10609776","Thorin Haburne","21215010","ZVL ","Vente libre         ",2012-04-09,90000,40000,0,130000,0,0,0,99687.5,130000
"3098","180392.02",1805,"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",1,3,141,1210,170610,"10596721","Hamlin McKernon","21229327","ZVL ","Vente libre         ",2013-11-20,45705,45705,45705,137115,0,0,0,33495,137115
"3515","180392.03",1805,"Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",1,2,80,850,68000,"11015657","Fania Toyer","21610751","ZVL ","Vente libre         ",2017-08-04,34000,17000,0,51000,0,0,0,17000,51000
"1053","180266.01",1805,"Taourirt                      ","2991-ZAITOUNE MLG LWIDANE               ","LOT ACTIVITÉ COMMERCIALE ","LOTS  ACTIVITE COMM A USAGE COMMERCIAL  ",1,3,90,380,34200,"10598652","Batholomew Scoffins","21233220","ZVL ","Vente libre         ",2012-11-22,12200,0,0,12200,0,0,0,22000,12200
"5202","180429.01",1803,"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",1,2,132,2200,290400,"11015262","Curry Colville","21610419","ZVL ","Vente libre         ",2017-08-01,87120,72600,72600,232320,0,0,0,58080,232320
"6076","180620.01",1802,"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",1,2,100,1700,170000,"11054065","Iorgos Keays","21635064","ZVL ","Vente libre         ",2018-10-04,51000,51000,68000,170000,0,0,0,0,170000
"957","180254.01",1804,"Jerada-Figuig                 ","7021-ZA ECONOMIQUE AIN BENI MATHAR      ","LOT ACTIVITÉ COMMERCIALE ","LOTS  ACTIVITE COMM A USAGE COMMERCIAL  ",1,2,144,500,72000,"11075638","Theo Ripsher","23193474","ZAF ","Vente Affectation   ",2020-05-06,36000,36000,0,72000,0,0,0,0,72000
"6575","180620.01",1802,"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",1,2,110,1300,143000,"11054400","Klemens Mizen","21635204","ZVL ","Vente libre         ",2018-10-08,42900,42900,28600,114400,0,0,0,28600,114400
"2064","180392.01",1805,"Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",1,3,125,1155,144375,"10627567","Bord Annesley","21227728","ZVL ","Vente libre         ",2014-10-13,36093.75,32000,68000,136093.75,0,0,0,8281.25,136093.75
"3984","180403.02",1803,"Nador - Driouch               ","10132-POLE URBAIN  AL AROUIT TR2        ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",1,3,131,1837.5,240712.5,"10591207","Aubrey Landreth","21228374","ZVL ","Vente libre         ",2012-10-02,73000,49000,49000,171000,0,0,0,69712.5,171000
"5666","180429.01",1803,"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",1,2,161.4,2350,379290,"11096446","Athene Lyle","21729769","ZVL ","Vente libre         ",2020-01-30,1e+05,150000,0,250000,0,0,0,129290,250000
"6658","180620.01",1802,"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",1,2,100,1200,120000,"11053821","Isis Morrice","21634865","ZVL ","Vente libre         ",2018-10-03,36000,36000,48000,120000,0,0,0,0,120000
"6857","180621.02",1802,"Berkane                       ","RESIDENCE FERMEE R+1 GREEN HOUSE SAIDIA ","CONSTRUCTION LOGEMENT    ","CONSTR MOYEN& HAUT STANDING DUPLEX      ",1,2,165,5272.73,870000,"11055432","Erl Parell","21635853","ZVL ","Vente libre         ",2018-10-17,348000,0,0,348000,0,0,0,522000,348000
"2759","180392.02",1805,"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",1,3,69,840,57960,"10627145","Romonda Leindecker","21217675","ZVL ","Vente libre         ",2013-09-18,16100,16100,16100,48300,0,0,0,9660,48300
