"","Opération","Division","Description","Designation","TypeUnité","TypeProduit","NombreUnité","StatutADV","Superficie","PrixUnitaire","PrixTotal","NuméroClient","Client","Dossier","TypeDocument","DésignationTypeDeDocument","Création","Vers1","Vers2","Vers3","TotalVersement","VersRegularis","TropPerçuRéglé","TropPerçuNonRéglé","ResteàPayer","TotalAvances"
"3662","180392.03",1805,"Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",1,2,120,950,114000,"11037592","Myriam Gilbert","21625427","ZVL ","Vente libre         ",2018-03-27,57000,0,0,57000,0,0,0,57000,57000
"45","180018.01",1804,"Jerada-Figuig                 ","99501-RYAD BOUARFA                      ","LOT HABITATION           ","LOTS PROMOTIONNELS VILLA BANDE          ",1,2,200,750,150000,"11125736","Alexa Geerling","21747441","ZVL ","Vente libre         ",2021-04-22,150000,0,0,150000,0,0,0,0,150000
"4454","180403.03",1803,"Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",1,2,162,2310,374220,"10655462","Delcine Gillease","21487755","ZVL ","Vente libre         ",2017-01-09,90000,90000,156798,336798,0,0,0,37422,336798
"2559","180392.02",1805,"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",1,3,70,800,56000,"10628081","Adoree Pena","21216188","ZVL ","Vente libre         ",2013-09-13,14700,14700,14700,44100,0,0,0,11900,44100
"305","180115.01",1803,"Nador - Driouch               ","19261-AL OUROUD  LS TR2 A Al Aruit      ","CONSTRUCTION LOGEMENT    ","CONSTR SOCIAL 250 MILLE                 ",1,2,68,4408.86,299802.8,"10623145","Eberhard Dresse","21479085","ZVL ","Vente libre         ",2016-07-26,50000,0,0,50000,0,0,0,249802.8,50000
"5774","180438.01",1802,"Berkane                       ","LOTISSEMENT ALIA A AKLIM                ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC COMMERCIAL     ",1,2,116,1600,185600,"11035379","Allissa Van Der Weedenburg","21623921","ZVL ","Vente libre         ",2018-03-07,74240,0,0,74240,0,0,0,111360,74240
"5351","180429.01",1803,"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",1,2,176,2200,387200,"11018079","Gladi Kingsbury","21612523","ZVL ","Vente libre         ",2017-09-04,116160,96800,96800,309760,0,0,0,77440,309760
"309","180115.01",1803,"Nador - Driouch               ","19261-AL OUROUD  LS TR2 A Al Aruit      ","CONSTRUCTION LOGEMENT    ","CONSTR SOCIAL 250 MILLE                 ",1,2,68,4408.92,299806.31,"11048452","Mara Adshead","21631086","ZVL ","Vente libre         ",2018-07-23,70000,0,0,70000,0,0,0,229806.31,70000
"7021","180630.02",1804,"Jerada-Figuig                 ","lotissement SITIR GUENFOUDA             ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",1,2,100,830,83000,"11125421","Lambert Masdin","21747320","ZVL ","Vente libre         ",2021-04-20,24900,0,0,24900,0,0,0,58100,24900
"2496","180392.02",1805,"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",1,3,70,880,61600,"10613699","Jarrid Fender","21217958","ZVL ","Vente libre         ",2013-09-13,19600,19600,19600,58800,0,0,0,2800,58800
"2803","180392.02",1805,"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",1,3,70,800,56000,"10628700","Ogdon Heinsius","21211801","ZVL ","Vente libre         ",2013-09-12,14700,14700,0,29400,0,0,0,26600,29400
"510","180149.01",1803,"Nador - Driouch               ","7321-AL ANNOUAR ARRUIT                  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",1,2,100,1850,185000,"10586633","Gilemette Semble","21633550","ZVL ","Vente libre         ",2018-09-14,62000,0,0,62000,0,0,0,123000,62000
"4012","180403.02",1803,"Nador - Driouch               ","10132-POLE URBAIN  AL AROUIT TR2        ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",1,3,146,2500,365000,"10560427","Abeu Mothersole","21226512","ZVL ","Vente libre         ",2013-06-28,70000,0,0,70000,0,0,0,295000,70000
"6329","180620.01",1802,"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",1,2,100,1200,120000,"11055706","Kathe O'Noulane","21636080","ZVL ","Vente libre         ",2018-10-22,36000,36000,48000,120000,0,0,0,0,120000
"6836","180621.02",1802,"Berkane                       ","RESIDENCE FERMEE R+1 GREEN HOUSE SAIDIA ","CONSTRUCTION LOGEMENT    ","CONSTR MOYEN& HAUT STANDING APPARTEMENT ",1,2,94,5904.26,555000,"11054669","Petronia Call","21635379","ZVL ","Vente libre         ",2018-10-10,222000,166500,0,388500,0,0,0,166500,388500
"2892","180392.02",1805,"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",1,3,123,1210,148830,"10574642","Murvyn Lattimer","21222501","ZVL ","Vente libre         ",2013-09-16,42570,42570,42570,127710,0,0,0,21120,127710
"5479","180429.01",1803,"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",1,2,200.5,2300,461150,"11101390","Lorna Sharphurst","21732410","ZVL ","Vente libre         ",2020-06-02,154000,153150,0,307150,0,0,0,154000,307150
"5544","180429.01",1803,"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",1,2,192.2,2300,442060,"11016966","Demetri Tapton","21611955","ZVL ","Vente libre         ",2017-08-22,132618,40000,0,172618,0,0,0,269442,172618
"6070","180620.01",1802,"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",1,2,109,1850,201650,"11060028","Hardy Newens","21639204","ZVL ","Vente libre         ",2018-12-17,60495,60495,80660,201650,0,0,0,0,201650
"2365","180392.01",1805,"Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+6 RDC COMMERCIAL   ",1,2,440,1750,770000,"11018487","Sterne Nolan","21612841","ZVL ","Vente libre         ",2017-09-11,192500,192500,372500,757500,0,0,0,12500,757500
"3853","180392.03",1805,"Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",1,2,192,1207.5,231840,"11081887","Beatrisa Merrell","21660943","ZVL ","Vente libre         ",2019-08-02,115920,57960,0,173880,0,0,0,57960,173880
"5631","180429.01",1803,"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",1,2,245.8,2650,651370,"10658313","Kori Bretherton","21731987","ZVL ","Vente libre         ",2020-04-30,150000,0,0,150000,0,0,0,501370,150000
"2705","180392.02",1805,"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",1,3,70,800,56000,"10593676","Bentley Bullough","21362417","ZVL ","Vente libre         ",2013-11-12,14700,14700,14700,44100,0,0,0,11900,44100
"286","180104.01",1802,"Berkane                       ","25011-BOUGHRIBA                         ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",1,3,143,873.6,124924.5,"10591205","Elke Seakin","21217421","ZVL ","Vente libre         ",2012-10-01,49617.9,37213.43,0,86831.33,0,0,0,38093.17,86831.33
"638","180166.02",1803,"Nador - Driouch               ","8342-ARROCHD MS SELOUANE PART B         ","CONSTRUCTION LOGEMENT    ","CONSTR MOYEN& HAUT STANDING APPARTEMENT ",1,2,120,5350,642000,"10633682","Gnni Bielfeld","21226001","ZVL ","Vente libre         ",2016-05-04,150000,0,0,150000,0,0,0,492000,150000
"6263","180620.01",1802,"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",1,2,100,1200,120000,"11053205","Christine Stutte","21634365","ZVL ","Vente libre         ",2018-09-27,36000,36000,0,72000,0,0,0,48000,72000
"930","180254.01",1804,"Jerada-Figuig                 ","7021-ZA ECONOMIQUE AIN BENI MATHAR      ","LOT ACTIVITÉ COMMERCIALE ","LOTS  ACTIVITE COMM A USAGE COMMERCIAL  ",1,2,156,500,78000,"11075638","Tito Booth","23193431","ZAF ","Vente Affectation   ",2020-05-06,39000,39000,0,78000,0,0,0,0,78000
"499","180149.01",1803,"Nador - Driouch               ","7321-AL ANNOUAR ARRUIT                  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",1,2,132,1825,240900,"11055722","Fernanda Knowling","21636015","ZVL ","Vente libre         ",2018-10-22,60225,60225,60225,180675,0,0,0,60225,180675
"2165","180392.01",1805,"Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",1,3,126,1000,126000,"10629029","Kassey Sydes","21237132","ZVL ","Vente libre         ",2015-10-09,31500,31500,31500,94500,0,0,0,31500,94500
"1413","180304.01",1804,"Jerada-Figuig                 ","10521-AMAL TR1 A TENDRARA               ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",1,2,140,480,67200,"11017384","Blaine Dyhouse","21612109","ZVL ","Vente libre         ",2017-08-24,26880,20160,20160,67200,0,0,0,0,67200
"2405","180392.02",1805,"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",1,3,70,800,56000,"10611472","Keelia Gonthard","21213306","ZVL ","Vente libre         ",2014-08-19,14000,14000,12000,40000,0,0,0,16000,40000
"642","180170.01",1801,"Agence Oujda                  ","24311-SALAM EXTENSION                   ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",1,3,100,270,27000,"10582323","Saxon Congram","21225911","ZVL ","Vente libre         ",1988-03-09,12000,12000,0,24000,0,0,0,3000,24000
"5321","180429.01",1803,"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",1,2,147,2150,316050,"11015630","Scot Belasco","21610743","ZVL ","Vente libre         ",2017-08-04,94815,79012.5,0,173827.5,0,0,0,142222.5,173827.5
"1805","180387.01",1805,"Taourirt                      ","99201-ANNASR A TAOURIRT                 ","PRODUITS TIERS           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",1,2,95,470,44650,"10620271","Chelsey Bein","21244982","ZVL ","Vente libre         ",1995-05-03,0,0,0,0,0,0,0,44650,0
"6702","180620.01",1802,"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",1,2,100,1200,120000,"11052950","Ned Doudny","21743195","ZVL ","Vente libre         ",2021-01-18,36000,0,0,36000,0,0,0,84000,36000
"6524","180620.01",1802,"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",1,2,117.5,1300,152750,"11105227","Spence Tripe","21734859","ZVL ","Vente libre         ",2020-07-21,45825,45825,61100,152750,0,0,0,0,152750
"2005","180392.01",1805,"Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",1,3,94,1265,118910,"10613422","Nelia Nyssens","21245237","ZVL ","Vente libre         ",2014-09-18,29727.5,29727.5,44727.5,104182.5,0,0,0,14727.5,104182.5
"6677","180620.01",1802,"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",1,2,100,1200,120000,"11086050","Christian Champagne","21663936","ZVL ","Vente libre         ",2019-10-23,36000,36000,24000,96000,0,0,0,24000,96000
"6361","180620.01",1802,"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",1,2,100,1200,120000,"11053912","Temp Foynes","21634960","ZVL ","Vente libre         ",2018-10-04,36000,36000,48000,120000,0,0,0,0,120000
"2395","180392.01",1805,"Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS VILLA JUMELEES       ",1,2,515,1340,690100,"10809970","Carol-jean Taveriner","21743800","ZVL ","Vente libre         ",2021-02-02,1e+05,0,0,1e+05,0,0,0,590100,1e+05
"4699","180420.01",1804,"Jerada-Figuig                 ","ZAE guenfouda tr1                       ","LOT ACTIVITÉ COMMERCIALE ","LOTS ACTIVITE COMM A USAGE INDUSTRIEL   ",1,2,504,720.76,363263,"11075638","Ruprecht Ferris","21725289","ZVL ","Vente libre         ",2019-11-21,363263,0,0,363263,0,0,0,0,363263
"2478","180392.02",1805,"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",1,3,70,800,56000,"10628739","Gweneth Calveley","21226387","ZVL ","Vente libre         ",2013-09-19,14700,14700,0,29400,0,0,0,26600,29400
"6883","180621.03",1802,"Berkane                       ","RESIDENCE GREEN HOUSE R+3               ","CONSTRUCTION LOGEMENT    ","CONSTR MOYEN& HAUT STANDING APPARTEMENT ",1,2,48,5208.33,250000,"10585818","Madelena McGraw","21658603","ZVL ","Vente libre         ",2019-06-14,62500,62500,62500,187500,0,0,0,62500,187500
"3559","180392.03",1805,"Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",1,2,80,850,68000,"11024415","Adoree Pena","21616973","ZVL ","Vente libre         ",2017-11-20,34000,17000,0,51000,0,0,0,17000,51000
"3280","180392.02",1805,"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",1,2,233,1312.5,305812.5,"11082087","Fidole Filintsev","21661077","ZVL ","Vente libre         ",2019-08-06,153000,76406.25,0,229406.25,0,0,0,76406.25,229406.25
"3808","180392.03",1805,"Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",1,2,100,1155,115500,"11015250","Belva Haggarth","21610406","ZVL ","Vente libre         ",2017-08-01,57750,28875,0,86625,0,0,0,28875,86625
"1453","180304.02",1804,"Jerada-Figuig                 ","10522-AMAL TR2 A TENDRARA               ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",1,2,96,460,44160,"10644520","Leopold Fonteyne","21480937","ZVL ","Vente libre         ",2016-08-25,10000,17080,17080,44160,0,0,0,0,44160
"4347","180403.03",1803,"Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",1,3,131,1984.5,259969.5,"10641308","Randall Bente","21663005","ZVL ","Vente libre         ",2019-09-30,70000,53600,136369.5,259969.5,0,0,0,0,259969.5
"1381","180304.01",1804,"Jerada-Figuig                 ","10521-AMAL TR1 A TENDRARA               ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",1,3,100,510,51000,"10618372","Sig Allner","21219146","ZVL ","Vente libre         ",2015-11-05,23200,20000,0,43200,0,0,0,7800,43200
"5635","180429.01",1803,"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",1,2,240,2350,564000,"11092265","Merle Gorvette","21726745","ZVL ","Vente libre         ",2019-12-20,186000,186000,0,372000,0,0,0,192000,372000
"825","180219.01",1805,"Taourirt                      ","29121-ZAITOUNE 1-2 TR                   ","LOT ACTIVITÉ COMMERCIALE ","LOTS  ACTIVITE COMM A USAGE COMMERCIAL  ",1,3,136,426.47,58000,"10607635","Casi McClarence","21240777","ZVL ","Vente libre         ",2006-06-21,20000,10000,0,30000,0,0,0,28000,30000
"3941","180403.02",1803,"Nador - Driouch               ","10132-POLE URBAIN  AL AROUIT TR2        ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",1,3,131,1837.5,240712.5,"10628550","Katerina McConnachie","21650648","ZVL ","Vente libre         ",2019-01-23,80850,80850,0,161700,0,0,0,79012.5,161700
"524","180149.01",1803,"Nador - Driouch               ","7321-AL ANNOUAR ARRUIT                  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",1,2,100,1800,180000,"11025531","Lavinie Eyles","21617710","ZVL ","Vente libre         ",2017-11-30,45000,0,0,45000,0,0,0,135000,45000
"4899","180429.01",1803,"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC COMMERCIAL     ",1,2,95.72,1400,134008,"11079450","Fred Karpfen","21660134","ZVL ","Vente libre         ",2019-07-16,40202.4,40202.4,0,80404.8,0,0,0,53603.2,80404.8
"2293","180392.01",1805,"Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",1,3,240,1312.5,315000,"10619205","Janos Stollsteiner","21212554","ZVL ","Vente libre         ",2016-03-29,78750,0,0,78750,0,0,0,236250,78750
"2495","180392.02",1805,"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",1,3,70,800,56000,"10599946","Mandi Manoch","21227775","ZVL ","Vente libre         ",2013-09-16,16100,16100,0,32200,0,0,0,23800,32200
"1243","180290.01",1802,"Berkane                       ","8191-ANAS FVIT TR3                      ","CONSTRUCTION LOGEMENT    ","CONSTR SOCIAL 250 MILLE                 ",1,2,55,3050.91,167800,"11081485","Isak Ceschelli","21660698","ZVL ","Vente libre         ",2019-07-26,15000,0,0,15000,0,0,0,152800,15000
"1552","180308.01",1803,"Nador - Driouch               ","96661-ANNASR LS DRIOUCH                 ","CONSTRUCTION LOGEMENT    ","CONSTR SOCIAL 250 MILLE                 ",1,2,67,4470.29,299509.41,"10639860","Madge Connar","21607542","ZVL ","Vente libre         ",2017-06-21,62500,62500,125000,250000,0,0,0,49509.41,250000
"563","180149.01",1803,"Nador - Driouch               ","7321-AL ANNOUAR ARRUIT                  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+6 RDC COMMERCIAL   ",1,2,311,2750,855250,"11086444","Sandy McGown","21733919","ZVL ","Vente libre         ",2020-07-06,2e+05,0,0,2e+05,0,0,0,655250,2e+05
"2360","180392.01",1805,"Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+6 RDC COMMERCIAL   ",1,3,461,1960,903560,"10626104","Parnell Vidloc","21226994","ZVL ","Vente libre         ",2015-08-04,225890,225890,365890,817670,0,0,0,85890,817670
"2682","180392.02",1805,"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",1,3,70,800,56000,"10626017","Dorotea Workman","21229835","ZVL ","Vente libre         ",2015-01-23,14000,14000,0,28000,0,0,0,28000,28000
"4462","180403.03",1803,"Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",1,3,193,2562,494466,"10582242","Jeanine Rickeard","21212952","ZVL ","Vente libre         ",2014-06-24,123616.5,0,0,123616.5,0,0,0,370849.5,123616.5
"1399","180304.01",1804,"Jerada-Figuig                 ","10521-AMAL TR1 A TENDRARA               ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",1,2,120,510,61200,"11023446","Tanner Learmount","21616249","ZVL ","Vente libre         ",2017-11-07,20000,20600,20600,61200,0,0,0,0,61200
"507","180149.01",1803,"Nador - Driouch               ","7321-AL ANNOUAR ARRUIT                  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",1,2,129,1885,243165,"11027075","Robenia Jennemann","21618530","ZVL ","Vente libre         ",2017-12-14,60791.25,0,0,60791.25,0,0,0,182373.75,60791.25
"864","180225.01",1801,"Agence Oujda                  ","8901-LOTIS ESSAADA MCO                  ","PRODUITS TIERS           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",1,2,103,2530,260590,"10643079","Merola Billborough","21479884","ZVL ","Vente libre         ",2016-08-09,130295,70000,60295,260590,0,0,0,0,260590
"5668","180429.01",1803,"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",1,2,161.4,2550,411570,"11017176","Kathryn Eastbury","21612933","ZVL ","Vente libre         ",2017-09-12,80000,180000,0,260000,0,0,0,151570,260000
"759","180174.01",1804,"Jerada-Figuig                 ","98021-AMAL 3 A AIN BENI MATHAR          ","PRODUITS TIERS           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",1,3,156,328.85,51300,"10612389","Lesley Brightwell","21216504","ZVL ","Vente libre         ",2000-01-01,3000,25000,0,28000,0,0,0,23300,28000
"5826","180438.01",1802,"Berkane                       ","LOTISSEMENT ALIA A AKLIM                ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC COMMERCIAL     ",1,2,117,1450,169650,"11035665","Hanni Skipton","21624258","ZVL ","Vente libre         ",2018-03-09,67860,33930,67860,169650,0,0,0,0,169650
"6757","180620.01",1802,"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",1,2,150,1900,285000,"11083296","Stillmann Perford","21661881","ZVL ","Vente libre         ",2019-08-30,85500,85500,0,171000,0,0,0,114000,171000
"3030","180392.02",1805,"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",1,3,105,1155,121275,"10630247","Flinn Wyley","21217083","ZVL ","Vente libre         ",2014-10-15,30318.75,30318.75,30318.75,90956.25,0,0,0,30318.75,90956.25
"6078","180620.01",1802,"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",1,2,100,1700,170000,"11058505","Cobbie Gossage","21638142","ZVL ","Vente libre         ",2018-11-30,51000,51000,0,102000,0,0,0,68000,102000
"2964","180392.02",1805,"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",1,3,139,1210,168190,"10575332","Brew Haseman","21251722","ZVL ","Vente libre         ",2013-09-10,46860,46860,41000,134720,0,0,0,33470,134720
"3543","180392.03",1805,"Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",1,2,80,850,68000,"11076486","Dyna Luckhurst","21658117","ZVL ","Vente libre         ",2019-05-28,34000,0,0,34000,0,0,0,34000,34000
"3952","180403.02",1803,"Nador - Driouch               ","10132-POLE URBAIN  AL AROUIT TR2        ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",1,3,133,2100,279300,"10612829","Ranee Freeman","21361810","ZVL ","Vente libre         ",2012-06-13,83000,0,0,83000,0,0,0,196300,83000
"4156","180403.03",1803,"Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",1,3,157,2150,337550,"10622199","Bevin Bussen","21236246","ZVL ","Vente libre         ",2014-09-05,60000,84387.5,159407.5,303795,0,0,0,33755,303795
"2653","180392.02",1805,"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",1,3,70,840,58800,"10600028","Tull Leal","21219236","ZVL ","Vente libre         ",2013-09-17,16100,16100,16100,48300,0,0,0,10500,48300
"4890","180429.01",1803,"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC COMMERCIAL     ",1,2,95.7,1400,133980,"11079756","Libbie Weeke","21660128","ZVL ","Vente libre         ",2019-07-16,40194,40194,0,80388,0,0,0,53592,80388
"5352","180429.01",1803,"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",1,2,176,2200,387200,"10679026","Morna Welch","21731518","ZVL ","Vente libre         ",2020-03-12,1e+05,0,0,1e+05,0,0,0,287200,1e+05
"4578","180412.01",1801,"Agence Oujda                  ","Lotissement mer Niger Oujda             ","PRODUITS TIERS           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",1,2,85,603.53,51300,"10290710","Baxy Gotling","21657074","ZVL ","Vente libre         ",2019-04-29,19000,0,0,19000,0,0,0,32300,19000
"6359","180620.01",1802,"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",1,2,100,1200,120000,"11053959","Nanny Gavigan","21634999","ZVL ","Vente libre         ",2018-10-04,36000,36000,48000,120000,0,0,0,0,120000
"6305","180620.01",1802,"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",1,2,100,1200,120000,"10593776","Palm Olifard","21634269","ZVL ","Vente libre         ",2018-09-27,36000,36000,0,72000,0,0,0,48000,72000
"6739","180620.01",1802,"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",1,2,100,1200,120000,"11102729","Murielle Redparth","21733242","ZVL ","Vente libre         ",2020-06-23,36000,0,0,36000,0,0,0,84000,36000
"2860","180392.02",1805,"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",1,3,105,1155,121275,"10575596","Paten Solly","21212539","ZVL ","Vente libre         ",2014-11-11,30318.75,23000,37637.5,90956.25,0,0,0,30318.75,90956.25
